,values,timeline,talhao_idx,talhao_name,satelite
0,1787.0,2017-08-13T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
1,1184.0,2017-08-29T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
2,1207.0,2017-09-14T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
3,1227.0,2017-09-30T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
4,1023.0,2017-10-16T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
5,-243.0,2017-11-01T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
6,3368.0,2017-11-17T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
7,1189.0,2017-12-03T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
8,2180.0,2017-12-19T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
9,4262.0,2018-01-01T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
10,1313.0,2018-01-17T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
11,6207.0,2018-02-02T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
12,8710.0,2018-02-18T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
13,5452.0,2018-03-06T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
14,6846.0,2018-03-22T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
15,3015.0,2018-04-07T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
16,2942.0,2018-04-23T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
17,3181.0,2018-05-09T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
18,2637.0,2018-05-25T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
19,2450.0,2018-06-10T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
20,2292.0,2018-06-26T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
21,2221.0,2018-07-12T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
0,2068.0,2017-08-13T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
1,1832.0,2017-08-29T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
2,1922.0,2017-09-14T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
3,1816.0,2017-09-30T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
4,1876.0,2017-10-16T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
5,1980.0,2017-11-01T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
6,43.0,2017-11-17T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
7,2623.0,2017-12-03T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
8,2423.0,2017-12-19T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
9,5182.0,2018-01-01T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
10,1557.0,2018-01-17T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
11,-968.0,2018-02-02T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
12,2712.0,2018-02-18T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
13,7984.0,2018-03-06T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
14,6639.0,2018-03-22T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
15,3545.0,2018-04-07T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
16,3765.0,2018-04-23T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
17,3992.0,2018-05-09T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
18,3823.0,2018-05-25T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
19,2091.0,2018-06-10T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
20,1840.0,2018-06-26T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
21,1967.0,2018-07-12T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
0,2192.0,2017-08-13T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
1,2010.0,2017-08-29T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
2,1992.0,2017-09-14T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
3,2015.0,2017-09-30T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
4,2182.0,2017-10-16T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
5,2314.0,2017-11-01T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
6,974.0,2017-11-17T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
7,1209.0,2017-12-03T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
8,2849.0,2017-12-19T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
9,5877.0,2018-01-01T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
10,1588.0,2018-01-17T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
11,-320.0,2018-02-02T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
12,8756.0,2018-02-18T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
13,4310.0,2018-03-06T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
14,3440.0,2018-03-22T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
15,1752.0,2018-04-07T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
16,2943.0,2018-04-23T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
17,4818.0,2018-05-09T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
18,5550.0,2018-05-25T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
19,3728.0,2018-06-10T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
20,2980.0,2018-06-26T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
21,2660.0,2018-07-12T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
0,2192.0,2017-08-13T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
1,2010.0,2017-08-29T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
2,1992.0,2017-09-14T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
3,2015.0,2017-09-30T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
4,2182.0,2017-10-16T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
5,2314.0,2017-11-01T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
6,974.0,2017-11-17T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
7,1209.0,2017-12-03T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
8,2849.0,2017-12-19T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
9,5877.0,2018-01-01T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
10,1588.0,2018-01-17T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
11,-320.0,2018-02-02T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
12,8756.0,2018-02-18T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
13,4310.0,2018-03-06T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
14,3440.0,2018-03-22T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
15,1752.0,2018-04-07T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
16,2943.0,2018-04-23T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
17,4818.0,2018-05-09T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
18,5550.0,2018-05-25T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
19,3728.0,2018-06-10T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
20,2980.0,2018-06-26T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
21,2660.0,2018-07-12T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
0,1840.0,2017-08-13T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
1,1424.0,2017-08-29T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
2,1414.0,2017-09-14T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
3,1412.0,2017-09-30T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
4,1680.0,2017-10-16T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
5,2389.0,2017-11-01T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
6,-78.0,2017-11-17T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
7,999.0,2017-12-03T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
8,2715.0,2017-12-19T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
9,6788.0,2018-01-01T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
10,-155.0,2018-01-17T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
11,-1011.0,2018-02-02T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
12,8933.0,2018-02-18T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
13,3878.0,2018-03-06T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
14,2707.0,2018-03-22T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
15,2105.0,2018-04-07T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
16,4934.0,2018-04-23T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
17,5288.0,2018-05-09T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
18,4417.0,2018-05-25T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
19,2761.0,2018-06-10T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
20,2381.0,2018-06-26T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
21,2264.0,2018-07-12T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
0,2295.0,2017-08-13T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
1,2078.0,2017-08-29T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
2,1955.0,2017-09-14T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
3,2019.0,2017-09-30T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
4,2172.0,2017-10-16T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
5,1624.0,2017-11-01T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
6,113.0,2017-11-17T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
7,959.0,2017-12-03T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
8,3992.0,2017-12-19T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
9,3536.0,2018-01-01T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
10,242.0,2018-01-17T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
11,-97.0,2018-02-02T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
12,9233.0,2018-02-18T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
13,6757.0,2018-03-06T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
14,2989.0,2018-03-22T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
15,5380.0,2018-04-07T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
16,6720.0,2018-04-23T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
17,6431.0,2018-05-09T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
18,4054.0,2018-05-25T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
19,2663.0,2018-06-10T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
20,2432.0,2018-06-26T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
21,2209.0,2018-07-12T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
0,2032.0,2017-08-13T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
1,1878.0,2017-08-29T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
2,1840.0,2017-09-14T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
3,1909.0,2017-09-30T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
4,2066.0,2017-10-16T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
5,1011.0,2017-11-01T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
6,190.0,2017-11-17T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
7,1823.0,2017-12-03T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
8,2814.0,2017-12-19T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
9,6350.0,2018-01-01T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
10,-70.0,2018-01-17T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
11,5008.0,2018-02-02T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
12,8277.0,2018-02-18T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
13,2443.0,2018-03-06T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
14,1595.0,2018-03-22T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
15,4093.0,2018-04-07T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
16,6061.0,2018-04-23T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
17,6135.0,2018-05-09T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
18,4992.0,2018-05-25T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
19,3147.0,2018-06-10T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
20,2607.0,2018-06-26T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
21,2426.0,2018-07-12T00:00:00,6,talhao 6,S2-SEN2COR_10_16D_STK-1
0,2252.0,2017-08-13T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
1,1986.0,2017-08-29T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
2,1870.0,2017-09-14T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
3,1934.0,2017-09-30T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
4,2031.0,2017-10-16T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
5,1321.0,2017-11-01T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
6,-256.0,2017-11-17T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
7,4348.0,2017-12-03T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
8,5682.0,2017-12-19T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
9,6201.0,2018-01-01T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
10,1877.0,2018-01-17T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
11,519.0,2018-02-02T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
12,6898.0,2018-02-18T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
13,2643.0,2018-03-06T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
14,2021.0,2018-03-22T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
15,7516.0,2018-04-07T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
16,7895.0,2018-04-23T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
17,5818.0,2018-05-09T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
18,4474.0,2018-05-25T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
19,3049.0,2018-06-10T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
20,2845.0,2018-06-26T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
21,2325.0,2018-07-12T00:00:00,7,talhao 7,S2-SEN2COR_10_16D_STK-1
0,2252.0,2017-08-13T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
1,1986.0,2017-08-29T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
2,1870.0,2017-09-14T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
3,1934.0,2017-09-30T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
4,2031.0,2017-10-16T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
5,1321.0,2017-11-01T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
6,-256.0,2017-11-17T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
7,4348.0,2017-12-03T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
8,5682.0,2017-12-19T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
9,6201.0,2018-01-01T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
10,1877.0,2018-01-17T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
11,519.0,2018-02-02T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
12,6898.0,2018-02-18T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
13,2643.0,2018-03-06T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
14,2021.0,2018-03-22T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
15,7516.0,2018-04-07T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
16,7895.0,2018-04-23T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
17,5818.0,2018-05-09T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
18,4474.0,2018-05-25T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
19,3049.0,2018-06-10T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
20,2845.0,2018-06-26T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
21,2325.0,2018-07-12T00:00:00,8,talhao 8,S2-SEN2COR_10_16D_STK-1
0,1727.0,2017-08-13T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
1,1504.0,2017-08-29T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
2,1425.0,2017-09-14T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
3,1533.0,2017-09-30T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
4,1512.0,2017-10-16T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
5,1697.0,2017-11-01T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
6,1125.0,2017-11-17T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
7,1160.0,2017-12-03T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
8,4222.0,2017-12-19T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
9,8331.0,2018-01-01T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
10,1359.0,2018-01-17T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
11,1305.0,2018-02-02T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
12,9263.0,2018-02-18T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
13,5107.0,2018-03-06T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
14,3086.0,2018-03-22T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
15,1675.0,2018-04-07T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
16,3206.0,2018-04-23T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
17,3670.0,2018-05-09T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
18,3396.0,2018-05-25T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
19,2233.0,2018-06-10T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
20,1910.0,2018-06-26T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
21,1835.0,2018-07-12T00:00:00,9,talhao 9,S2-SEN2COR_10_16D_STK-1
